scenario_id,scenario_name,scenario_description,access_metric,county_fips,county_name,baseline_shock_score,sensitivity_shock_score,score_delta_from_baseline,baseline_alert_level,sensitivity_alert_level,baseline_rank,sensitivity_rank,rank_delta_from_baseline,mean_weight,p90_weight,threshold_weight,poverty_weight,rurality_weight,risk_weight,vulnerability_floor,vulnerability_multiplier
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37001,Alamance County,0.0,0.0,0.0,NONE,NONE,1,1,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37003,Alexander County,0.0,0.0,0.0,NONE,NONE,2,2,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37005,Alleghany County,0.0,0.0,0.0,NONE,NONE,3,3,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37007,Anson County,0.0,0.0,0.0,NONE,NONE,4,4,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37009,Ashe County,0.0,0.0,0.0,NONE,NONE,5,5,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37011,Avery County,0.0,0.0,0.0,NONE,NONE,6,6,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37013,Beaufort County,0.0,0.0,0.0,NONE,NONE,7,7,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37015,Bertie County,0.0,0.0,0.0,NONE,NONE,8,8,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37017,Bladen County,0.0,0.0,0.0,NONE,NONE,9,9,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37019,Brunswick County,0.0,0.0,0.0,NONE,NONE,10,10,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37021,Buncombe County,0.0,0.0,0.0,NONE,NONE,11,11,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37023,Burke County,0.0,0.0,0.0,NONE,NONE,12,12,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37025,Cabarrus County,0.0,0.0,0.0,NONE,NONE,13,13,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37027,Caldwell County,0.0,0.0,0.0,NONE,NONE,14,14,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37029,Camden County,0.0,0.0,0.0,NONE,NONE,15,15,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37031,Carteret County,0.0,0.0,0.0,NONE,NONE,16,16,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37033,Caswell County,0.0,0.0,0.0,NONE,NONE,17,17,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37035,Catawba County,0.0,0.0,0.0,NONE,NONE,18,18,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37037,Chatham County,0.0,0.0,0.0,NONE,NONE,19,19,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37039,Cherokee County,0.0,0.0,0.0,NONE,NONE,20,20,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37041,Chowan County,0.0,0.0,0.0,NONE,NONE,21,21,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37043,Clay County,0.0,0.0,0.0,NONE,NONE,22,22,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37045,Cleveland County,0.0,0.0,0.0,NONE,NONE,23,23,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37047,Columbus County,0.0,0.0,0.0,NONE,NONE,24,24,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37049,Craven County,0.0,0.0,0.0,NONE,NONE,25,25,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37051,Cumberland County,0.0,0.0,0.0,NONE,NONE,26,26,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37053,Currituck County,0.0,0.0,0.0,NONE,NONE,27,27,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37055,Dare County,0.0,0.0,0.0,NONE,NONE,28,28,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37057,Davidson County,0.0,0.0,0.0,NONE,NONE,29,29,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37059,Davie County,0.0,0.0,0.0,NONE,NONE,30,30,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37061,Duplin County,0.0,0.0,0.0,NONE,NONE,31,31,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37063,Durham County,0.0,0.0,0.0,NONE,NONE,32,32,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37065,Edgecombe County,0.0,0.0,0.0,NONE,NONE,33,33,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37067,Forsyth County,0.0,0.0,0.0,NONE,NONE,34,34,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37069,Franklin County,0.0,0.0,0.0,NONE,NONE,35,35,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
baseline,Baseline,Current published exploratory weighting.,travel_time_minutes,37071,Gaston County,0.0,0.0,0.0,NONE,NONE,36,36,0,0.45,0.3,0.25,0.4,0.3,0.3,0.7,0.3
