state,county_fips,county_name,location,total_population,poverty_150_pct,households_no_vehicle,households_no_vehicle_pct,households_no_internet,households_no_internet_pct,svi_socioeconomic_percentile,svi_household_characteristics_percentile,svi_racial_ethnic_minority_percentile,svi_housing_transportation_percentile,svi_overall_percentile
AL,01001,Autauga County,"Autauga County, Alabama",58761,20.2,888,4.0,2425,10.9,0.2367,0.3675,0.6354,0.2358,0.2663
AL,01003,Baldwin County,"Baldwin County, Alabama",233420,18.3,2056,2.3,9867,10.9,0.3433,0.2883,0.489,0.4308,0.3487
AL,01005,Barbour County,"Barbour County, Alabama",24877,37.7,1058,11.7,2865,31.8,0.9399,0.9399,0.8941,0.9959,0.9927
AL,01007,Bibb County,"Bibb County, Alabama",22251,29.0,544,7.5,1461,20.2,0.8893,0.4954,0.6185,0.8931,0.8451
AL,01009,Blount County,"Blount County, Alabama",59077,22.9,1047,4.8,3654,16.9,0.6866,0.7884,0.413,0.3532,0.6166
AL,01011,Bullock County,"Bullock County, Alabama",10328,47.4,359,10.4,1325,38.4,0.8654,0.5138,0.9809,0.9491,0.8985
AL,01013,Butler County,"Butler County, Alabama",18981,33.8,359,5.0,1525,21.4,0.8441,0.6106,0.8661,0.217,0.6872
AL,01015,Calhoun County,"Calhoun County, Alabama",116162,28.7,2490,5.6,7398,16.6,0.854,0.65,0.658,0.7114,0.8145
AL,01017,Chambers County,"Chambers County, Alabama",34612,28.8,916,7.0,2819,21.4,0.7171,0.5317,0.8396,0.9469,0.8295
AL,01019,Cherokee County,"Cherokee County, Alabama",25069,25.6,324,3.2,2183,21.8,0.6077,0.6494,0.2628,0.1152,0.406
AL,01021,Chilton County,"Chilton County, Alabama",45140,22.8,556,3.3,3152,18.6,0.5924,0.6837,0.5425,0.2698,0.5336
AL,01023,Choctaw County,"Choctaw County, Alabama",12669,31.9,297,5.7,1594,30.5,0.6901,0.798,0.8151,0.2539,0.6548
AL,01025,Clarke County,"Clarke County, Alabama",23058,29.7,869,10.6,2373,29.0,0.8412,0.7264,0.8641,0.6462,0.8365
AL,01027,Clay County,"Clay County, Alabama",14209,29.1,349,6.4,1366,24.9,0.7235,0.3688,0.5269,0.5851,0.6223
AL,01029,Cleburne County,"Cleburne County, Alabama",15144,27.7,389,6.8,1500,26.0,0.4938,0.6739,0.1985,0.5482,0.5196
AL,01031,Coffee County,"Coffee County, Alabama",53559,26.2,807,4.0,3013,14.8,0.6497,0.9488,0.6806,0.2323,0.6802
AL,01033,Colbert County,"Colbert County, Alabama",57270,23.1,1089,4.7,5539,23.8,0.4944,0.6984,0.5644,0.16,0.4467
AL,01035,Conecuh County,"Conecuh County, Alabama",11576,38.6,312,7.0,1471,33.0,0.5272,0.5332,0.8727,0.2482,0.5122
AL,01037,Coosa County,"Coosa County, Alabama",10329,22.2,151,3.8,861,21.5,0.3513,0.328,0.7321,0.6427,0.4808
AL,01039,Covington County,"Covington County, Alabama",37542,30.1,902,6.4,3084,21.7,0.7509,0.7821,0.4839,0.5075,0.7121
AL,01041,Crenshaw County,"Crenshaw County, Alabama",13205,28.4,354,7.3,1674,34.6,0.7588,0.6201,0.6656,0.4575,0.685
AL,01043,Cullman County,"Cullman County, Alabama",88284,23.3,990,2.9,5157,15.3,0.5323,0.713,0.2587,0.3341,0.4909
AL,01045,Dale County,"Dale County, Alabama",49455,29.6,1014,5.2,3336,17.2,0.8648,0.9014,0.7003,0.2736,0.7766
