year,stateabbr,locationname,locationid,measure,data_value,data_value_type,county_fips
2022,AL,Autauga,01001,Mammography use among women aged 50-74 years,80.7,Age-adjusted prevalence,01001
2022,AL,Autauga,01001,Mammography use among women aged 50-74 years,80.9,Crude prevalence,01001
2022,AL,Baldwin,01003,Mammography use among women aged 50-74 years,74.1,Age-adjusted prevalence,01003
2022,AL,Baldwin,01003,Mammography use among women aged 50-74 years,75.7,Crude prevalence,01003
2022,AL,Barbour,01005,Mammography use among women aged 50-74 years,74.8,Age-adjusted prevalence,01005
2022,AL,Barbour,01005,Mammography use among women aged 50-74 years,75.5,Crude prevalence,01005
2022,AL,Bibb,01007,Mammography use among women aged 50-74 years,69.2,Age-adjusted prevalence,01007
2022,AL,Bibb,01007,Mammography use among women aged 50-74 years,69.5,Crude prevalence,01007
2022,AL,Blount,01009,Mammography use among women aged 50-74 years,69.6,Age-adjusted prevalence,01009
2022,AL,Blount,01009,Mammography use among women aged 50-74 years,70.7,Crude prevalence,01009
2022,AL,Bullock,01011,Mammography use among women aged 50-74 years,74.8,Age-adjusted prevalence,01011
2022,AL,Bullock,01011,Mammography use among women aged 50-74 years,75.5,Crude prevalence,01011
2022,AL,Butler,01013,Mammography use among women aged 50-74 years,76.4,Age-adjusted prevalence,01013
2022,AL,Butler,01013,Mammography use among women aged 50-74 years,76.9,Crude prevalence,01013
2022,AL,Calhoun,01015,Mammography use among women aged 50-74 years,76.2,Age-adjusted prevalence,01015
2022,AL,Calhoun,01015,Mammography use among women aged 50-74 years,76.3,Crude prevalence,01015
2022,AL,Chambers,01017,Mammography use among women aged 50-74 years,76.1,Age-adjusted prevalence,01017
2022,AL,Chambers,01017,Mammography use among women aged 50-74 years,77.0,Crude prevalence,01017
2022,AL,Cherokee,01019,Mammography use among women aged 50-74 years,74.3,Age-adjusted prevalence,01019
2022,AL,Cherokee,01019,Mammography use among women aged 50-74 years,75.3,Crude prevalence,01019
2022,AL,Chilton,01021,Mammography use among women aged 50-74 years,73.5,Age-adjusted prevalence,01021
2022,AL,Chilton,01021,Mammography use among women aged 50-74 years,73.8,Crude prevalence,01021
2022,AL,Choctaw,01023,Mammography use among women aged 50-74 years,74.8,Age-adjusted prevalence,01023
2022,AL,Choctaw,01023,Mammography use among women aged 50-74 years,76.1,Crude prevalence,01023
2022,AL,Clarke,01025,Mammography use among women aged 50-74 years,75.6,Age-adjusted prevalence,01025
2022,AL,Clarke,01025,Mammography use among women aged 50-74 years,76.2,Crude prevalence,01025
2022,AL,Clay,01027,Mammography use among women aged 50-74 years,73.0,Age-adjusted prevalence,01027
2022,AL,Clay,01027,Mammography use among women aged 50-74 years,73.3,Crude prevalence,01027
2022,AL,Cleburne,01029,Mammography use among women aged 50-74 years,74.2,Age-adjusted prevalence,01029
2022,AL,Cleburne,01029,Mammography use among women aged 50-74 years,74.7,Crude prevalence,01029
2022,AL,Coffee,01031,Mammography use among women aged 50-74 years,74.7,Age-adjusted prevalence,01031
2022,AL,Coffee,01031,Mammography use among women aged 50-74 years,75.3,Crude prevalence,01031
2022,AL,Colbert,01033,Mammography use among women aged 50-74 years,71.0,Age-adjusted prevalence,01033
2022,AL,Colbert,01033,Mammography use among women aged 50-74 years,71.9,Crude prevalence,01033
2022,AL,Conecuh,01035,Mammography use among women aged 50-74 years,72.9,Age-adjusted prevalence,01035
2022,AL,Conecuh,01035,Mammography use among women aged 50-74 years,73.8,Crude prevalence,01035
2022,AL,Coosa,01037,Mammography use among women aged 50-74 years,76.8,Age-adjusted prevalence,01037
2022,AL,Coosa,01037,Mammography use among women aged 50-74 years,78.1,Crude prevalence,01037
2022,AL,Covington,01039,Mammography use among women aged 50-74 years,74.8,Age-adjusted prevalence,01039
2022,AL,Covington,01039,Mammography use among women aged 50-74 years,76.0,Crude prevalence,01039
2022,AL,Crenshaw,01041,Mammography use among women aged 50-74 years,72.8,Age-adjusted prevalence,01041
2022,AL,Crenshaw,01041,Mammography use among women aged 50-74 years,73.2,Crude prevalence,01041
2022,AL,Cullman,01043,Mammography use among women aged 50-74 years,73.7,Age-adjusted prevalence,01043
2022,AL,Cullman,01043,Mammography use among women aged 50-74 years,74.5,Crude prevalence,01043
2022,AL,Dale,01045,Mammography use among women aged 50-74 years,73.8,Age-adjusted prevalence,01045
2022,AL,Dale,01045,Mammography use among women aged 50-74 years,74.6,Crude prevalence,01045
2022,AL,Dallas,01047,Mammography use among women aged 50-74 years,78.5,Age-adjusted prevalence,01047
2022,AL,Dallas,01047,Mammography use among women aged 50-74 years,79.1,Crude prevalence,01047
2022,AL,DeKalb,01049,Mammography use among women aged 50-74 years,71.4,Age-adjusted prevalence,01049
2022,AL,DeKalb,01049,Mammography use among women aged 50-74 years,71.7,Crude prevalence,01049
2022,AL,Elmore,01051,Mammography use among women aged 50-74 years,76.3,Age-adjusted prevalence,01051
2022,AL,Elmore,01051,Mammography use among women aged 50-74 years,77.1,Crude prevalence,01051
2022,AL,Escambia,01053,Mammography use among women aged 50-74 years,70.7,Age-adjusted prevalence,01053
2022,AL,Escambia,01053,Mammography use among women aged 50-74 years,71.5,Crude prevalence,01053
2022,AL,Etowah,01055,Mammography use among women aged 50-74 years,74.3,Age-adjusted prevalence,01055
2022,AL,Etowah,01055,Mammography use among women aged 50-74 years,74.7,Crude prevalence,01055
2022,AL,Fayette,01057,Mammography use among women aged 50-74 years,71.5,Age-adjusted prevalence,01057
2022,AL,Fayette,01057,Mammography use among women aged 50-74 years,72.5,Crude prevalence,01057
2022,AL,Franklin,01059,Mammography use among women aged 50-74 years,72.1,Age-adjusted prevalence,01059
2022,AL,Franklin,01059,Mammography use among women aged 50-74 years,73.5,Crude prevalence,01059
2022,AL,Geneva,01061,Mammography use among women aged 50-74 years,76.9,Age-adjusted prevalence,01061
2022,AL,Geneva,01061,Mammography use among women aged 50-74 years,77.1,Crude prevalence,01061
2022,AL,Greene,01063,Mammography use among women aged 50-74 years,74.9,Age-adjusted prevalence,01063
2022,AL,Greene,01063,Mammography use among women aged 50-74 years,76.5,Crude prevalence,01063
2022,AL,Hale,01065,Mammography use among women aged 50-74 years,79.6,Age-adjusted prevalence,01065
2022,AL,Hale,01065,Mammography use among women aged 50-74 years,80.1,Crude prevalence,01065
2022,AL,Henry,01067,Mammography use among women aged 50-74 years,74.1,Age-adjusted prevalence,01067
2022,AL,Henry,01067,Mammography use among women aged 50-74 years,75.5,Crude prevalence,01067
2022,AL,Houston,01069,Mammography use among women aged 50-74 years,74.6,Age-adjusted prevalence,01069
