county_fips,county_name,land_area_sqmi,centroid_lat,centroid_lon
01001,Autauga County,594.455,32.532237,-86.64644
01003,Baldwin County,1589.884,30.659218,-87.746067
01005,Barbour County,885.008,31.870253,-85.405104
01007,Bibb County,622.47,33.015893,-87.127148
01009,Blount County,644.891,33.977358,-86.56644
01011,Bullock County,622.815,32.101759,-85.717261
01013,Butler County,776.839,31.751667,-86.681969
01015,Calhoun County,605.893,33.770516,-85.827909
01017,Chambers County,596.554,32.915504,-85.394032
01019,Cherokee County,553.522,34.069515,-85.654242
01021,Chilton County,692.838,32.854051,-86.726607
01023,Choctaw County,913.479,31.990954,-88.248889
01025,Clarke County,1238.42,31.685521,-87.818624
01027,Clay County,603.962,33.2704,-85.863525
01029,Cleburne County,560.107,33.671964,-85.516126
01031,Coffee County,678.986,31.402258,-85.989602
01033,Colbert County,592.953,34.703112,-87.801457
01035,Conecuh County,850.279,31.430926,-86.988722
01037,Coosa County,650.909,32.931445,-86.243482
01039,Covington County,1030.571,31.243987,-86.448721
01041,Crenshaw County,608.865,31.730311,-86.320038
01043,Cullman County,734.747,34.131923,-86.869267
01045,Dale County,561.113,31.430654,-85.609476
01047,Dallas County,978.738,32.333526,-87.11436
01049,DeKalb County,777.077,34.460915,-85.804021
01051,Elmore County,618.52,32.597229,-86.142735
01053,Escambia County,945.408,31.122287,-87.16841
01055,Etowah County,535.144,34.047641,-86.034263
01057,Fayette County,627.684,33.716157,-87.764292
01059,Franklin County,633.959,34.441989,-87.842814
01061,Geneva County,574.485,31.092382,-85.821022
01063,Greene County,647.023,32.844497,-87.9642
01065,Hale County,643.991,32.752796,-87.623061
01067,Henry County,561.892,31.516978,-85.239971
01069,Houston County,579.826,31.158183,-85.296411
01071,Jackson County,1078.014,34.764114,-85.980056
01073,Jefferson County,1111.556,33.553444,-86.896536
01075,Lamar County,604.846,33.787085,-88.087431
01077,Lauderdale County,668.018,34.904168,-87.651108
01079,Lawrence County,690.685,34.529776,-87.321865
01081,Lee County,607.556,32.604064,-85.353048
01083,Limestone County,563.399,34.810239,-86.981399
01085,Lowndes County,716.085,32.147888,-86.650586
01087,Macon County,608.665,32.387027,-85.692887
01089,Madison County,801.612,34.764238,-86.55108
01091,Marengo County,976.898,32.247591,-87.791091
01093,Marion County,742.342,34.138219,-87.881551
01095,Marshall County,565.854,34.309564,-86.321668
01097,Mobile County,1229.38,30.684572,-88.196568
01099,Monroe County,1025.669,31.580353,-87.383342
01101,Montgomery County,785.354,32.202881,-86.204461
01103,Morgan County,579.674,34.454484,-86.846402
01105,Perry County,719.67,32.639005,-87.293827
01107,Pickens County,881.408,33.2968,-88.096864
01109,Pike County,672.067,31.798653,-85.941608
01111,Randolph County,580.55,33.296461,-85.464064
01113,Russell County,641.182,32.289811,-85.18698
01115,St. Clair County,631.61,33.719491,-86.311327
01117,Shelby County,785.454,33.266893,-86.661007
01119,Sumter County,903.826,32.597481,-88.200057
01121,Talladega County,736.818,33.369314,-86.17593
01123,Tallapoosa County,716.531,32.863308,-85.799618
01125,Tuscaloosa County,1320.857,33.29022,-87.522783
01127,Walker County,791.031,33.791558,-87.301094
01129,Washington County,1080.255,31.408503,-88.212404
01131,Wilcox County,887.858,31.990082,-87.304935
01133,Winston County,612.999,34.154566,-87.365346
02013,Aleutians East Borough,6986.254,55.245044,-161.997477
02016,Aleutians West Census Area,4393.051,51.948964,179.621188
02020,Anchorage Municipality,1707.069,61.17425,-149.284329
02050,Bethel Census Area,40660.586,60.929141,-160.152625
02060,Bristol Bay Borough,481.382,58.730546,-156.994473
02063,Chugach Census Area,9575.39,60.488474,-146.203092
02066,Copper River Census Area,24646.759,62.034479,-143.922167
02068,Denali Borough,12641.049,63.682039,-150.027016
02070,Dillingham Census Area,18335.796,59.543326,-158.267123
02090,Fairbanks North Star Borough,7334.824,64.670454,-146.496061
02100,Haines Borough,2334.932,59.098404,-135.575791
02105,Hoonah-Angoon Census Area,6560.319,58.403336,-135.884909
02110,Juneau City and Borough,2702.924,58.37291,-134.178445
02122,Kenai Peninsula Borough,16017.581,60.366668,-152.322283
02130,Ketchikan Gateway Borough,4857.091,55.449938,-131.106685
02150,Kodiak Island Borough,6689.486,57.7044,-153.918372
02158,Kusilvak Census Area,17077.965,62.283588,-163.190171
02164,Lake and Peninsula Borough,23831.019,58.108507,-156.413413
02170,Matanuska-Susitna Borough,24707.334,62.265626,-149.503993
02180,Nome Census Area,22969.694,64.783686,-164.188912
02185,North Slope Borough,88792.798,69.449343,-153.47283
02188,Northwest Arctic Borough,35671.697,67.005066,-160.021086
02195,Petersburg Borough,2900.889,57.112458,-133.008598
02198,Prince of Wales-Hyder Census Area,5267.636,55.682773,-133.162389
02220,Sitka City and Borough,2870.101,57.193204,-135.367396
02230,Skagway Municipality,442.928,59.560379,-135.338279
02240,Southeast Fairbanks Census Area,24832.27,63.864997,-143.218628
02275,Wrangell City and Borough,2556.097,56.180779,-132.026788
02282,Yakutat City and Borough,7627.587,60.017508,-140.416847
02290,Yukon-Koyukuk Census Area,145769.125,65.375656,-151.578176
04001,Apache County,11198.31,35.385084,-109.490172
04003,Cochise County,6209.863,31.840129,-109.775163
04005,Coconino County,18616.352,35.829692,-111.773728
04007,Gila County,4757.578,33.789618,-110.81187
04009,Graham County,4621.877,32.931828,-109.87831
04011,Greenlee County,1842.838,33.238872,-109.242323
04012,La Paz County,4496.579,33.72761,-114.038806
04013,Maricopa County,9202.016,33.345176,-112.49893
04015,Mohave County,13332.117,35.717705,-113.749689
04017,Navajo County,9949.496,35.390785,-110.321025
04019,Pima County,9188.683,32.128038,-111.783657
04021,Pinal County,5366.677,32.918521,-111.366339
04023,Santa Cruz County,1236.26,31.525733,-110.845228
04025,Yavapai County,8122.932,34.631071,-112.577225
04027,Yuma County,5513.82,32.773942,-113.910905
05001,Arkansas County,992.14,34.28957,-91.376547
05003,Ashley County,925.492,33.190835,-91.772267
05005,Baxter County,553.931,36.280268,-92.329949
05007,Benton County,847.733,36.337819,-94.256298
05009,Boone County,589.723,36.304299,-93.079236
05011,Bradley County,649.167,33.466549,-92.169156
05013,Calhoun County,628.601,33.56046,-92.513879
05015,Carroll County,629.928,36.33737,-93.540972
05017,Chicot County,636.978,33.267139,-91.297158
05019,Clark County,865.971,34.053316,-93.176208
05021,Clay County,639.224,36.367302,-90.418704
05023,Cleburne County,553.959,35.593628,-92.008898
05025,Cleveland County,597.91,33.893201,-92.188714
05027,Columbia County,766.065,33.223038,-93.232843
05029,Conway County,551.924,35.26569,-92.689249
05031,Craighead County,707.166,35.827729,-90.631421
05033,Crawford County,595.269,35.582959,-94.236193
05035,Crittenden County,611.812,35.197559,-90.30512
05037,Cross County,616.318,35.285692,-90.763984
05039,Dallas County,667.323,33.967823,-92.653999
05041,Desha County,741.227,33.828752,-91.244103
05043,Drew County,828.667,33.587242,-91.722778
05045,Faulkner County,647.247,35.146548,-92.336928
05047,Franklin County,608.967,35.508558,-93.887665
05049,Fulton County,617.994,36.381322,-91.819285
05051,Garland County,677.615,34.578852,-93.146932
05053,Grant County,631.888,34.285568,-92.422979
05055,Greene County,577.34,36.120607,-90.566346
05057,Hempstead County,727.2,33.735953,-93.664355
05059,Hot Spring County,614.944,34.315177,-92.944147
05061,Howard County,587.332,34.083064,-93.990931
05063,Independence County,763.712,35.737499,-91.559942
05065,Izard County,580.201,36.094879,-91.913625
05067,Jackson County,633.611,35.596467,-91.223205
05069,Jefferson County,872.346,34.277239,-91.929673
05071,Johnson County,660.99,35.573359,-93.466322
