tract_geoid,county_fips,tract_name,land_area_sqmi,centroid_lat,centroid_lon
01001020100,01001,,3.794,32.4819731,-86.4915648
01001020200,01001,,1.282,32.475758,-86.4724678
01001020300,01001,,2.065,32.4740243,-86.4597033
01001020400,01001,,2.465,32.4710304,-86.4448353
01001020501,01001,,2.395,32.4478607,-86.4225578
01001020502,01001,,0.81,32.4657357,-86.4188549
01001020503,01001,,1.2,32.475447,-86.4255333
01001020600,01001,,3.105,32.4473399,-86.4768278
01001020700,01001,,8.653,32.4265973,-86.4432668
01001020801,01001,,47.981,32.4180713,-86.5271273
01001020803,01001,,49.819,32.5240173,-86.546795
01001020804,01001,,10.185,32.5027017,-86.4528568
01001020805,01001,,13.682,32.5576357,-86.430535
01001020901,01001,,40.638,32.651143,-86.4577699
01001020902,01001,,72.396,32.6357135,-86.5634094
01001021000,01001,,149.37,32.6061376,-86.7489849
01001021100,01001,,184.615,32.4574129,-86.7290029
01003010100,01003,,375.109,31.1104762,-87.7868713
01003010200,01003,,85.636,30.9478929,-87.6787306
01003010300,01003,,132.448,30.8412001,-87.8786378
01003010400,01003,,284.74,30.7200267,-87.6245437
01003010500,01003,,6.728,30.8969612,-87.7737368
01003010600,01003,,7.173,30.8533019,-87.7701385
01003010704,01003,,3.248,30.6477601,-87.8838007
01003010706,01003,,5.189,30.6803479,-87.8856797
01003010707,01003,,37.049,30.7544801,-87.9483253
01003010708,01003,,31.471,30.6836114,-87.8296667
01003010709,01003,,24.17,30.5788587,-87.8390181
01003010710,01003,,5.336,30.6604947,-87.9557115
01003010711,01003,,1.371,30.6389851,-87.8993395
01003010800,01003,,6.977,30.5939161,-87.9006394
01003010903,01003,,21.462,30.6072432,-87.7798044
01003010904,01003,,106.632,30.5640707,-87.5731188
01003010906,01003,,15.183,30.5641292,-87.6870074
01003010907,01003,,15.511,30.5259518,-87.7753308
01003010908,01003,,11.95,30.5433452,-87.7278605
01003011000,01003,,50.388,30.4896994,-87.6767299
01003011102,01003,,17.469,30.4799296,-87.8330813
01003011103,01003,,6.067,30.5296542,-87.8260181
01003011104,01003,,6.91,30.5127023,-87.8471486
01003011201,01003,,4.755,30.5408065,-87.891618
01003011202,01003,,5.208,30.5036849,-87.904561
01003011300,01003,,25.359,30.4293701,-87.8782358
01003011409,01003,,20.731,30.428891,-87.7634335
01003011410,01003,,42.881,30.3607256,-87.7725034
01003011411,01003,,15.917,30.3244734,-87.618452
01003011412,01003,,8.801,30.2969777,-87.7128565
01003011413,01003,,8.193,30.3010739,-87.6607298
01003011414,01003,,2.98,30.3005888,-87.54179
01003011415,01003,,3.002,30.2896945,-87.5148942
01003011416,01003,,5.204,30.2354488,-87.7773475
01003011417,01003,,6.289,30.2850214,-87.6039237
01003011418,01003,,6.939,30.2632859,-87.6478349
01003011419,01003,,18.416,30.2400973,-87.9263265
01003011501,01003,,14.91,30.4324484,-87.6790139
01003011503,01003,,9.619,30.3792229,-87.6939612
01003011504,01003,,10.425,30.3813973,-87.6380235
01003011601,01003,,90.577,30.4082096,-87.5555847
01003011603,01003,,21.526,30.4281978,-87.4296554
01003011604,01003,,9.937,30.3665744,-87.4873351
01003990000,01003,,0.0,30.3288009,-87.8829736
01005950100,01005,,187.35,32.0353533,-85.2477678
01005950200,01005,,199.617,31.9222752,-85.4498308
01005950300,01005,,136.216,31.7908933,-85.5670514
01005950400,01005,,132.556,31.6794432,-85.5577196
01005950500,01005,,128.848,31.7634183,-85.2718649
01005950600,01005,,39.263,31.8783526,-85.2729215
01005950700,01005,,49.117,31.9440855,-85.2620842
01005950800,01005,,5.687,31.9203546,-85.1756308
01005950900,01005,,6.353,31.8559766,-85.1513159
01007010001,01007,,89.752,33.0791483,-87.1730915
01007010005,01007,,24.511,33.1751505,-87.1427298
01007010006,01007,,45.234,33.1824141,-87.0823075
01007010007,01007,,150.909,32.8883969,-86.9477291
01007010008,01007,,116.146,33.0332174,-87.0211228
01007010009,01007,,25.691,32.8945208,-87.1921653
01007010010,01007,,20.881,32.9784509,-87.1866443
01007010011,01007,,149.346,32.955222,-87.321793
01009050103,01009,,39.23,33.8656656,-86.5073198
01009050104,01009,,29.655,33.9346212,-86.5518366
01009050105,01009,,41.707,33.9749736,-86.4037827
01009050106,01009,,7.729,33.925327,-86.4725259
01009050107,01009,,36.128,33.88481,-86.4069536
01009050200,01009,,44.994,33.9974352,-86.544238
01009050301,01009,,33.713,34.1400655,-86.3531063
01009050302,01009,,39.607,34.0463998,-86.3847326
01009050400,01009,,94.651,34.1660342,-86.4971736
01009050501,01009,,52.844,34.062471,-86.6104394
01009050502,01009,,43.38,33.9958792,-86.6840888
01009050601,01009,,32.294,33.8702666,-86.8934341
01009050603,01009,,21.274,33.8778489,-86.741815
01009050604,01009,,49.033,33.9153019,-86.7903651
01009050701,01009,,45.397,33.8055206,-86.6285786
01009050702,01009,,33.255,33.8739997,-86.6773768
01011952100,01011,,165.331,32.1157274,-85.5267341
01011952201,01011,,72.968,32.1732854,-85.7777131
01011952202,01011,,80.91,32.1384894,-85.649468
01011952500,01011,,303.606,32.0821273,-85.8274935
01013952700,01013,,51.668,31.8946556,-86.5914052
01013952800,01013,,1.332,31.8377094,-86.6283263
01013952900,01013,,22.177,31.8483349,-86.6763242
01013953000,01013,,170.457,31.8617983,-86.7608112
01013953100,01013,,12.432,31.7967889,-86.6542667
01013953200,01013,,184.822,31.7820079,-86.5213679
01013953300,01013,,136.009,31.7163243,-86.7533225
01013953400,01013,,96.14,31.6017378,-86.8165798
01013953500,01013,,101.801,31.575083,-86.6086952
01015000200,01015,,2.629,33.6737915,-85.8165597
01015000300,01015,,1.012,33.6759496,-85.8313606
01015000400,01015,,3.906,33.6820547,-85.8686849
01015000500,01015,,0.903,33.6627134,-85.8452306
01015000600,01015,,2.655,33.642233,-85.8412035
01015000700,01015,,17.678,33.7077538,-85.7919352
01015000800,01015,,1.408,33.645471,-85.8270598
01015000900,01015,,4.679,33.6449078,-85.7965197
01015001000,01015,,6.439,33.6345617,-85.7901308
01015001101,01015,,11.716,33.5896413,-85.7694025
01015001102,01015,,1.465,33.6078278,-85.8121438
01015001103,01015,,5.571,33.5897336,-85.817363
01015001201,01015,,2.826,33.6084159,-85.8515466
01015001202,01015,,9.086,33.6101723,-85.8786386
01015001300,01015,,2.226,33.6445961,-85.8731746
01015001400,01015,,8.149,33.6599004,-85.8895413
01015001501,01015,,9.295,33.6129884,-85.9294348
01015001502,01015,,11.611,33.661622,-86.0167644
01015001600,01015,,5.437,33.6981993,-85.8638068
01015001700,01015,,7.213,33.7278369,-85.8444202
01015001801,01015,,9.594,33.7631952,-85.7668
01015001802,01015,,6.298,33.7646067,-85.8234566
01015002001,01015,,54.926,33.7758357,-85.6423276
01015002002,01015,,37.475,33.7306605,-85.7072614
01015002101,01015,,5.286,33.8370579,-85.772778
01015002102,01015,,8.003,33.8366205,-85.7375247
01015002104,01015,,4.693,33.804147,-85.7760186
