candidate_id,candidate_name,county_fips,latitude,longitude,candidate_type,assumption_source,review_notes,review_status
HRSA-HCSD-BPS-H80-000114,Rural Health Group at Roanoke Rapids,37083,36.40458789,-77.64743342,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=2066 Nc Highway 125, Roanoke Rapids, NC, 27870-9436. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-000250,GOSHEN MEDICAL CENTER - BEULAVILLE,37061,34.92943378,-77.7696803,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=119 Crossover Rd, Beulaville, NC, 28518-8801. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-000391,CommWell Health of Salemburg,37163,35.00941248,-78.50750001,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=500 S Fayetteville St, Salemburg, NC, 28385-8406. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-000437,LYON PARK CLINIC,37063,35.98926421,-78.9198888,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=1313 Halley St, Durham, NC, 27707-1227. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-000489,"KINSTON COMMUNITY HEALTH CENTER, INC.",37107,35.26326336,-77.58138637,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Administrative/Service Delivery Site; location_type=Permanent; status=Active; address=324 N Queen St, Kinston, NC, 28501-4932. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-000629,AGAPE COMMUNITY HEALTH CENTER,37013,35.54652312,-77.05339998,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=120 W Martin Luther King Jr Dr, Washington, NC, 27889-4906. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-000848,COLERAIN PRIMARY CARE,37015,36.20134845,-76.76897594,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=109 W River St, Colerain, NC, 27924-9006. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-000857,Rural Health Group at Rich Square,37131,36.27283062,-77.28579998,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=200 S Main St, Rich Square, NC, 27869-9582. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-000965,LOGAN FAMILY MEDICINE,37025,35.39835043,-80.57964779,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=298 Lincoln St SW, Concord, NC, 28025-5469. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-001000,Rural Health Group Pediatrics and Dental,37083,36.40426116,-77.6482292,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=2064 NC Highway 125, Roanoke Rapids, NC, 27870-9436. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-001097,Contentnea Health KBR,37079,35.45364241,-77.68220214,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=205 Martin L King Jr Pkwy, Snow Hill, NC, 28580-1320. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-001105,Rural Health Group at Jackson,37131,36.41006199,-77.43642496,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=9425 NC Highway 305, Jackson, NC, 27845-9679. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-001142,MCGILL FAMILY MEDICINE,37025,35.41728959,-80.59720712,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Administrative/Service Delivery Site; location_type=Permanent; status=Active; address=202D McGill Ave NW, Concord, NC, 28025. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-H80-001167,The C.W. Williams Community Health Center Inc.,37119,35.22417146,-80.89610068,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=3333 Wilkinson Boulevard, Charlotte, NC, 28208-5631. This is not a claim that the site currently provides mammography.",reviewed
