county_fips,county_name,land_area_sqmi,centroid_lat,centroid_lon,name,total_population,female_50_54,female_55_59,female_60_61,female_62_64,female_65_66,female_67_69,female_70_74,population_below_poverty,poverty_universe,households_no_vehicle,households_vehicle_universe,state,county,eligible_population,poverty_pct,no_vehicle_pct,population_density_per_sqmi,rurality_index,high_risk_index
37001,Alamance County,423.463,36.043954,-79.400573,"Alamance County, North Carolina",176893,5891,6191,2535,3288,2177,3106,4465,22876,171342,3325,70062,NC,001,27653,13.351075626524729,4.745796580171848,417.7295300888153,0.8133384594304262,0.26551086306510124
37003,Alexander County,259.989,35.920951,-81.177467,"Alexander County, North Carolina",36412,1189,1285,478,804,522,609,1043,4357,34657,432,14126,NC,003,5930,12.571774821825317,3.058190570579074,140.0520791264246,0.9396862242717603,0.13273007459409006
37005,Alleghany County,234.835,36.489356,-81.132299,"Alleghany County, North Carolina",11174,337,378,229,265,153,536,350,1770,11077,313,5177,NC,005,2248,15.979055701002077,6.045972570987058,47.58234505078033,0.9817614600369886,0.36780866968003517
37007,Anson County,531.461,34.974972,-80.109763,"Anson County, North Carolina",22289,697,687,500,355,342,458,505,4483,20635,805,8548,NC,007,3544,21.725224133753333,9.417407580720637,41.93910747919414,0.9843292250865717,0.6330730716355712
37009,Ashe County,426.266,36.443469,-81.499334,"Ashe County, North Carolina",26950,872,862,715,638,419,478,1328,3590,26611,532,12201,NC,009,5312,13.49066175641652,4.360298336201951,63.2234332552913,0.9746445100380714,0.23517987319095127
37011,Avery County,247.338,36.07209,-81.920285,"Avery County, North Carolina",17680,479,505,239,509,193,365,710,1558,15339,347,6791,NC,011,3000,10.157115848490776,5.109704020026506,71.4811310837801,0.9708871229699151,0.2941430891413928
37013,Beaufort County,832.736,35.482313,-76.842014,"Beaufort County, North Carolina",44499,1430,1436,910,1260,795,1074,1753,7820,43881,1198,19385,NC,013,8658,17.820924773820103,6.180036110394635,53.437103715943586,0.9790974494431683,0.3783567848008435
37015,Bertie County,699.176,36.059043,-76.962364,"Bertie County, North Carolina",17170,574,576,293,467,391,430,580,2525,15649,620,7143,NC,015,3311,16.135216307751293,8.67982640347193,24.55747908967127,0.992238149231141,0.5750402074956216
37017,Bladen County,874.956,34.591938,-78.539489,"Bladen County, North Carolina",29566,922,1199,523,555,574,655,968,6417,29219,922,11824,NC,017,5396,21.961737225777746,7.7976995940460085,33.79141351107941,0.9880365586057848,0.5056344975009913
37019,Brunswick County,850.069,34.038754,-78.227765,"Brunswick County, North Carolina",152568,4450,6152,3306,5808,3912,5046,8831,13955,151157,1693,69124,NC,019,37505,9.232122892092328,2.44922168855969,179.47719538061028,0.9217471539581222,0.08481642185214723
