tract_geoid,county_fips,tract_name,land_area_sqmi,centroid_lat,centroid_lon,name,total_population,female_50_54,female_55_59,female_60_61,female_62_64,female_65_66,female_67_69,female_70_74,population_below_poverty,poverty_universe,households_no_vehicle,households_vehicle_universe,state,county,tract,eligible_population,poverty_pct,no_vehicle_pct,population_density_per_sqmi
37001020100,37001,,1.742,36.0914774,-79.4455986,Census Tract 201; Alamance County; North Carolina,4222,99,263,57,49,19,108,119,1066,4219,325,2052,NC,001,020100,714,25.26665086513392,15.838206627680313,2423.650975889782
37001020200,37001,,1.338,36.0919103,-79.4195398,Census Tract 202; Alamance County; North Carolina,4190,98,105,64,74,66,54,96,2025,4187,101,1639,NC,001,020200,557,48.363983759254836,6.162294081757169,3131.539611360239
37001020301,37001,,1.917,36.1065434,-79.4055744,Census Tract 203.01; Alamance County; North Carolina,4175,289,44,57,41,84,129,68,887,4020,72,1675,NC,001,020301,712,22.064676616915424,4.298507462686567,2177.882107459572
37001020302,37001,,2.44,36.09477,-79.3911836,Census Tract 203.02; Alamance County; North Carolina,3353,145,101,35,58,115,0,72,613,3350,111,1190,NC,001,020302,526,18.29850746268657,9.327731092436975,1374.1803278688526
37001020400,37001,,4.463,36.1207861,-79.4322349,Census Tract 204; Alamance County; North Carolina,7047,325,347,40,127,26,233,109,1685,7046,49,2958,NC,001,020400,1207,23.914277604314506,1.656524678837052,1578.982747031145
37001020501,37001,,2.756,36.1220609,-79.4795203,Census Tract 205.01; Alamance County; North Carolina,3903,218,88,30,42,73,44,71,884,3814,45,1315,NC,001,020501,566,23.177766124803355,3.4220532319391634,1416.1828737300436
37001020502,37001,,2.093,36.1143709,-79.4515972,Census Tract 205.02; Alamance County; North Carolina,4407,192,91,57,0,39,0,190,872,4406,295,1557,NC,001,020502,569,19.79119382660009,18.946692357096982,2105.590062111801
37001020601,37001,,2.148,36.0922417,-79.4903921,Census Tract 206.01; Alamance County; North Carolina,3297,117,113,15,95,31,80,182,115,3287,8,1375,NC,001,020601,633,3.4986309704898084,0.5818181818181818,1534.9162011173185
37001020602,37001,,1.076,36.095804,-79.4621793,Census Tract 206.02; Alamance County; North Carolina,2491,42,105,80,42,38,53,100,133,2433,36,1199,NC,001,020602,460,5.466502260583642,3.0025020850708923,2315.0557620817845
37001020701,37001,,2.625,36.0698004,-79.4810886,Census Tract 207.01; Alamance County; North Carolina,5272,351,86,257,83,62,77,289,986,5260,222,2573,NC,001,020701,1205,18.745247148288975,8.628060629615236,2008.3809523809523
37001020702,37001,,2.924,36.0624647,-79.4583524,Census Tract 207.02; Alamance County; North Carolina,5871,124,399,116,38,37,67,119,574,5845,212,2622,NC,001,020702,900,9.820359281437126,8.085430968726163,2007.8659370725034
