point_id,county_fips,latitude,longitude,weight
tract-37001020100,37001,36.0914774,-79.4455986,714
tract-37001020200,37001,36.0919103,-79.4195398,557
tract-37001020301,37001,36.1065434,-79.4055744,712
tract-37001020302,37001,36.09477,-79.3911836,526
tract-37001020400,37001,36.1207861,-79.4322349,1207
tract-37001020501,37001,36.1220609,-79.4795203,566
tract-37001020502,37001,36.1143709,-79.4515972,569
tract-37001020601,37001,36.0922417,-79.4903921,633
tract-37001020602,37001,36.095804,-79.4621793,460
tract-37001020701,37001,36.0698004,-79.4810886,1205
tract-37001020702,37001,36.0624647,-79.4583524,900
tract-37001020801,37001,36.0490131,-79.4493095,273
tract-37001020802,37001,36.0791566,-79.4275785,711
tract-37001020901,37001,36.056031,-79.4175161,745
tract-37001020902,37001,36.029254,-79.4128455,807
tract-37001021000,37001,36.076978,-79.3985062,837
tract-37001021101,37001,36.0697173,-79.3749221,571
tract-37001021102,37001,36.0377304,-79.3746745,443
tract-37001021201,37001,36.1058538,-79.3538343,806
tract-37001021204,37001,36.0465688,-79.3145052,1068
tract-37001021205,37001,36.071731,-79.2838992,1193
tract-37001021206,37001,36.0854722,-79.3049679,848
tract-37001021207,37001,36.1076086,-79.2987302,681
tract-37001021300,37001,36.1804423,-79.3130101,995
tract-37001021400,37001,36.200065,-79.4059533,447
tract-37001021500,37001,36.1916726,-79.4828826,731
tract-37001021600,37001,36.1447926,-79.520266,826
tract-37001021701,37001,36.0927095,-79.5291655,662
tract-37001021702,37001,36.0930886,-79.5083273,789
tract-37001021703,37001,36.0544145,-79.5185666,1208
tract-37001021801,37001,35.9869584,-79.4822243,831
tract-37001021802,37001,35.9388738,-79.4437298,548
tract-37001021803,37001,35.8777839,-79.4773039,531
tract-37001021901,37001,35.9861226,-79.3694459,1006
tract-37001021902,37001,35.892058,-79.3325996,610
tract-37001022001,37001,35.9970765,-79.3342675,633
tract-37001022002,37001,35.976536,-79.2885164,804
tract-37003040100,37003,35.9786489,-81.0654227,540
tract-37003040200,37003,35.9824254,-81.2466687,605
tract-37003040300,37003,35.8935396,-81.2619493,519
tract-37003040400,37003,35.9190953,-81.1748648,1195
tract-37003040500,37003,35.864873,-81.0966473,835
tract-37003040600,37003,35.8589717,-81.1904395,799
tract-37003040700,37003,35.8302549,-81.3009365,1437
tract-37005950100,37005,36.4788732,-81.0089677,769
tract-37005950200,37005,36.5270151,-81.1372473,861
tract-37005950300,37005,36.4954342,-81.232151,618
tract-37007920100,37007,34.9873922,-79.9330024,509
tract-37007920200,37007,35.0996781,-80.1049893,296
tract-37007920301,37007,35.078451,-80.2411009,815
tract-37007920302,37007,34.9495049,-80.2147609,100
tract-37007920400,37007,35.0150927,-80.0838809,268
tract-37007920501,37007,34.9395656,-80.1461397,140
tract-37007920502,37007,34.9419407,-80.0568714,884
tract-37007920600,37007,34.8573699,-80.1191723,484
tract-37007980000,37007,34.9899785,-80.1826933,48
tract-37009970200,37009,36.5290589,-81.5408788,580
tract-37009970300,37009,36.4748945,-81.6702586,529
tract-37009970400,37009,36.4436205,-81.5603804,886
tract-37009970501,37009,36.4017333,-81.44755,583
tract-37009970502,37009,36.4493645,-81.4706194,533
tract-37009970701,37009,36.3392756,-81.561917,668
tract-37009970702,37009,36.2998512,-81.4597506,462
tract-37009970801,37009,36.3988389,-81.3489861,546
tract-37009970802,37009,36.5088535,-81.4012665,525
tract-37011930100,37011,36.2037801,-81.9101337,479
tract-37011930200,37011,36.0498505,-81.8294281,729
tract-37011930301,37011,36.1128045,-81.9404824,795
tract-37011930302,37011,36.0958079,-82.0116573,381
tract-37011930400,37011,35.9886921,-81.980009,616
tract-37013930101,37013,35.6115021,-76.7137284,539
tract-37013930102,37013,35.544452,-76.5560395,366
tract-37013930200,37013,35.6298026,-77.0193014,1176
tract-37013930300,37013,35.5552788,-77.0650549,780
tract-37013930400,37013,35.5657805,-77.0433855,785
tract-37013930501,37013,35.5089705,-76.994309,695
tract-37013930502,37013,35.5499701,-76.967802,530
tract-37013930600,37013,35.5119533,-76.8742247,559
tract-37013930700,37013,35.4437315,-76.6855762,555
tract-37013930800,37013,35.3049988,-76.7560671,557
tract-37013930900,37013,35.3892318,-76.9668799,1004
tract-37013931001,37013,35.4529722,-77.1378598,580
tract-37013931002,37013,35.4977535,-77.0822702,532
tract-37015960100,37015,36.1259234,-76.8298463,970
tract-37015960200,37015,36.1462991,-77.0430465,645
tract-37015960300,37015,36.0718625,-77.1618779,592
tract-37015960401,37015,36.0366771,-76.9123754,523
tract-37015960402,37015,35.9310996,-76.8232424,581
tract-37017950101,37017,34.6841923,-78.4207941,549
tract-37017950102,37017,34.5990846,-78.445604,411
tract-37017950200,37017,34.751534,-78.6716465,518
tract-37017950301,37017,34.6553887,-78.6992839,299
tract-37017950302,37017,34.7407193,-78.8208014,530
tract-37017950401,37017,34.6304635,-78.631086,688
tract-37017950402,37017,34.5950373,-78.6243837,428
tract-37017950501,37017,34.567994,-78.7460135,324
tract-37017950502,37017,34.5136718,-78.800439,539
tract-37017950601,37017,34.515667,-78.5884025,663
tract-37017950602,37017,34.4457174,-78.4606439,447
tract-37019020101,37019,34.323231,-78.071378,589
tract-37019020102,37019,34.2873137,-78.093043,1888
tract-37019020105,37019,34.2268494,-78.0393515,1699
tract-37019020106,37019,34.2314755,-78.0810594,488
tract-37019020107,37019,34.246065,-78.025875,439
tract-37019020108,37019,34.252579,-78.0140005,495
tract-37019020201,37019,34.214892,-78.0015426,923
tract-37019020203,37019,34.1352149,-78.0798768,585
tract-37019020204,37019,34.0267982,-78.0892409,1251
tract-37019020205,37019,34.1653866,-78.0016326,2974
tract-37019020206,37019,34.0501547,-77.981739,383
tract-37019020304,37019,33.9437461,-78.1053801,3652
tract-37019020305,37019,33.9292567,-78.0408742,1023
tract-37019020306,37019,33.9513928,-77.9921763,649
tract-37019020307,37019,33.9225601,-77.954369,87
tract-37019020308,37019,33.9165272,-78.2040968,783
tract-37019020311,37019,33.9625184,-78.2277592,837
tract-37019020312,37019,33.9614654,-78.1818975,377
tract-37019020313,37019,33.9225828,-78.1487651,998
tract-37019020314,37019,33.9143122,-78.1379543,143
tract-37019020315,37019,33.9137959,-78.0921016,762
tract-37019020316,37019,33.9058692,-78.0486559,264
tract-37019020404,37019,33.9659625,-78.3045336,563
tract-37019020405,37019,33.9729461,-78.2685241,736
tract-37019020406,37019,33.911987,-78.3207687,357
tract-37019020407,37019,33.9221344,-78.2811099,597
tract-37019020408,37019,33.9506849,-78.3530295,712
tract-37019020409,37019,33.928238,-78.338022,572
tract-37019020504,37019,33.9462819,-78.583424,821
tract-37019020505,37019,33.9916026,-78.5495703,438
tract-37019020508,37019,33.934273,-78.5160112,1066
tract-37019020510,37019,33.8937359,-78.4776126,805
tract-37019020511,37019,33.9128875,-78.4015063,560
tract-37019020512,37019,33.8801764,-78.4827167,423
tract-37019020513,37019,33.9382875,-78.4311907,367
tract-37019020514,37019,33.9462878,-78.3837561,832
tract-37019020515,37019,33.9178421,-78.5959278,1408
tract-37019020516,37019,33.912908,-78.5696551,1610
tract-37019020517,37019,33.8868276,-78.5465251,871
tract-37019020518,37019,33.9070699,-78.483257,1120
tract-37019020601,37019,34.0823293,-78.4165529,912
tract-37019020602,37019,34.164494,-78.2037781,719
tract-37019020603,37019,34.0182139,-78.1976448,727
tract-37021000100,37021,35.59488,-82.5532037,259
tract-37021000200,37021,35.597076,-82.5666758,278
tract-37021000300,37021,35.6056351,-82.5724487,343
tract-37021000400,37021,35.6147195,-82.5622271,422
tract-37021000500,37021,35.6230445,-82.5424249,900
tract-37021000600,37021,35.6041522,-82.5470874,446
tract-37021000700,37021,35.5904452,-82.5453765,203
tract-37021000800,37021,35.5810477,-82.5377897,559
tract-37021000900,37021,35.5787019,-82.5582858,689
tract-37021001000,37021,35.57542,-82.57526,606
tract-37021001100,37021,35.571199,-82.5926798,589
tract-37021001200,37021,35.5706972,-82.6099808,624
tract-37021001300,37021,35.5806246,-82.6227506,400
tract-37021001401,37021,35.6062837,-82.6009376,367
tract-37021001402,37021,35.5978109,-82.5843859,496
tract-37021001500,37021,35.6306242,-82.5944149,265
tract-37021001601,37021,35.6274203,-82.5619283,718
tract-37021001602,37021,35.6595008,-82.5631461,557
tract-37021001700,37021,35.6458553,-82.5155282,664
tract-37021001801,37021,35.6121842,-82.5226018,629
tract-37021001802,37021,35.608999,-82.5004234,1034
tract-37021001900,37021,35.5767566,-82.5017858,942
tract-37021002000,37021,35.5624626,-82.5236113,1160
tract-37021002101,37021,35.5350563,-82.5556527,340
tract-37021002102,37021,35.5419974,-82.5161929,761
tract-37021002203,37021,35.4525755,-82.5376833,711
tract-37021002204,37021,35.4980287,-82.5432633,1374
tract-37021002205,37021,35.470337,-82.4960745,1167
