point_id,facility_id,travel_time_minutes
county-37001,MQSA-NC-00B63FECC026,137.86
county-37001,MQSA-NC-0192BACC2A57,61.5
county-37001,MQSA-NC-02950EC5A22D,77.07
county-37001,MQSA-NC-031A0EA92A92,138.11
county-37001,MQSA-NC-063260459294,54.78
county-37001,MQSA-NC-06A7FF9F7F29,127.75
county-37001,MQSA-NC-06AB1010F526,60.04
county-37001,MQSA-NC-072F20702494,139.51
county-37001,MQSA-NC-097C62FCF61B,137.82
county-37001,MQSA-NC-09E165117B24,135.62
county-37001,MQSA-NC-0A65CE020C3D,134.53
county-37001,MQSA-NC-0EF1CB4DB002,129.29
county-37001,MQSA-NC-0F05DDCFA8C4,130.09
county-37001,MQSA-NC-0F2D19267BCB,30.54
county-37001,MQSA-NC-0F3695208CA9,166.59
county-37001,MQSA-NC-0FABD428DA3C,190.74
county-37001,MQSA-NC-0FC2AA228A1E,78.17
county-37001,MQSA-NC-1026001EDCCF,73.09
county-37001,MQSA-NC-11EB9739D54F,54.94
county-37001,MQSA-NC-12502033F99A,105.75
county-37001,MQSA-NC-126F574C2A57,120.45
county-37001,MQSA-NC-13957A980FB7,59.83
county-37001,MQSA-NC-142FB7D090EF,70.19
county-37001,MQSA-NC-152E91E0D970,38.34
county-37001,MQSA-NC-168E96BF3F4E,99.8
county-37001,MQSA-NC-16C34A7AC2F7,127.41
county-37001,MQSA-NC-1722D750F7CF,10.18
county-37001,MQSA-NC-19AF9EB330F7,65.21
county-37001,MQSA-NC-1B613233ED83,194.93
county-37001,MQSA-NC-1C99A1FB1397,123.28
county-37001,MQSA-NC-1CA72EC54D67,65.41
county-37001,MQSA-NC-1D756893D0E3,93.07
county-37001,MQSA-NC-1FA34F22A1E5,128.3
county-37001,MQSA-NC-21D5337CD01A,71.09
county-37001,MQSA-NC-2235775CA522,134.2
county-37001,MQSA-NC-22698C9D8239,120.83
county-37001,MQSA-NC-273119B0ECF6,73.62
county-37001,MQSA-NC-292BD7C9808F,59.86
county-37001,MQSA-NC-29FE5506763C,43.01
county-37001,MQSA-NC-2A4D524B37AC,128.43
county-37001,MQSA-NC-2B4672CA48EB,49.73
county-37001,MQSA-NC-2C242F907FFF,139.25
county-37001,MQSA-NC-2C26717539DD,139.2
county-37001,MQSA-NC-2EF93350B407,48.74
county-37001,MQSA-NC-2FED9F574408,117.46
county-37001,MQSA-NC-3A992B24CCC6,60.85
county-37001,MQSA-NC-3AA82C296C39,67.16
county-37001,MQSA-NC-3B34F4245301,122.89
county-37001,MQSA-NC-3C8B87DD0F9F,57.53
county-37001,MQSA-NC-3CE5AE8F0040,53.88
county-37001,MQSA-NC-3D7899E9B0B6,56.57
county-37001,MQSA-NC-3DF3374BDA59,64.76
county-37001,MQSA-NC-405EADB0937F,93.25
county-37001,MQSA-NC-407DF0D5A4BB,150.04
county-37001,MQSA-NC-40CDE0603E2C,32.75
county-37001,MQSA-NC-4144E9007662,135.74
county-37001,MQSA-NC-4153AF84218B,197.03
county-37001,MQSA-NC-41D346D86145,55.96
county-37001,MQSA-NC-42321AFB3127,102.59
county-37001,MQSA-NC-432F751BF988,188.58
county-37001,MQSA-NC-4389416D9D48,39.48
county-37001,MQSA-NC-44CB3606B696,91.29
county-37001,MQSA-NC-461CEF6F5325,122.79
county-37001,MQSA-NC-462A7D211F71,44.07
county-37001,MQSA-NC-468C415B77AE,68.77
county-37001,MQSA-NC-47C04C7F01B0,10.18
county-37001,MQSA-NC-4880367000E8,89.05
county-37001,MQSA-NC-490AC739C587,120.91
county-37001,MQSA-NC-493A5D00E6AE,186.72
county-37001,MQSA-NC-4A765F06D16F,116.93
county-37001,MQSA-NC-4BF8A2FF046E,139.43
