point_id,facility_id,travel_time_minutes
tract-37001020100,MQSA-NC-0F2D19267BCB,37.29
tract-37001020100,MQSA-NC-152E91E0D970,36.69
tract-37001020100,MQSA-NC-1722D750F7CF,7.74
tract-37001020100,MQSA-NC-4389416D9D48,34.72
tract-37001020100,MQSA-NC-462A7D211F71,45.37
tract-37001020100,MQSA-NC-47C04C7F01B0,7.73
tract-37001020100,MQSA-NC-58F80EF9C57C,17.09
tract-37001020100,MQSA-NC-6B3AE4E40BC7,35.98
tract-37001020100,MQSA-NC-7247D7B1829B,30.02
tract-37001020100,MQSA-NC-734953D40A57,33.85
tract-37001020100,MQSA-NC-79900A216D74,42.12
tract-37001020100,MQSA-NC-9D0CC50BED69,30.12
tract-37001020100,MQSA-NC-A0897EFA1400,35.84
tract-37001020100,MQSA-NC-AC170915B2E8,34.09
tract-37001020100,MQSA-NC-B0A8C44C53C7,35.27
tract-37001020100,MQSA-NC-BD9E641CDDE6,46.72
tract-37001020100,MQSA-NC-C78238C092E5,29.43
tract-37001020100,MQSA-NC-F6F5458285A9,34.62
tract-37001020100,MQSA-NC-F81D57E71A89,33.71
tract-37001020100,MQSA-NC-F946627C9C93,35.16
tract-37001020200,MQSA-NC-0F2D19267BCB,36.27
tract-37001020200,MQSA-NC-152E91E0D970,40.63
tract-37001020200,MQSA-NC-1722D750F7CF,11.67
tract-37001020200,MQSA-NC-4389416D9D48,35.71
tract-37001020200,MQSA-NC-462A7D211F71,44.34
tract-37001020200,MQSA-NC-47C04C7F01B0,11.67
tract-37001020200,MQSA-NC-58F80EF9C57C,16.06
tract-37001020200,MQSA-NC-6B3AE4E40BC7,39.91
tract-37001020200,MQSA-NC-7247D7B1829B,28.99
tract-37001020200,MQSA-NC-734953D40A57,37.79
tract-37001020200,MQSA-NC-9D0CC50BED69,34.06
tract-37001020200,MQSA-NC-A0897EFA1400,34.81
tract-37001020200,MQSA-NC-AC170915B2E8,38.03
tract-37001020200,MQSA-NC-B0A8C44C53C7,39.21
tract-37001020200,MQSA-NC-BD9E641CDDE6,45.7
tract-37001020200,MQSA-NC-C78238C092E5,33.37
tract-37001020200,MQSA-NC-F6F5458285A9,38.56
tract-37001020200,MQSA-NC-F709DB23D13B,42.97
tract-37001020200,MQSA-NC-F81D57E71A89,37.65
tract-37001020200,MQSA-NC-F946627C9C93,39.1
tract-37001020301,MQSA-NC-0F2D19267BCB,38.47
tract-37001020301,MQSA-NC-152E91E0D970,43.04
tract-37001020301,MQSA-NC-1722D750F7CF,14.09
tract-37001020301,MQSA-NC-40CDE0603E2C,41.66
tract-37001020301,MQSA-NC-4389416D9D48,38.11
